"age","workclass","fnlwgt","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
39,5,77516,10,13,2,2,2,5,2,2174,0,40,3,1
50,4,83311,10,13,1,5,1,5,2,0,0,13,3,1
38,3,215646,12,9,3,7,2,5,2,0,0,40,3,1
53,3,234721,2,7,1,7,1,3,2,0,0,40,3,1
28,3,338409,10,13,1,11,6,3,1,0,0,40,3,1
37,3,284582,13,14,1,5,6,5,1,0,0,40,3,1
49,3,160187,7,5,1,9,2,3,1,0,0,16,3,1
52,4,209642,12,9,1,5,1,5,2,0,0,45,3,2
31,3,45781,13,14,2,11,2,5,1,14084,0,50,3,2
42,3,159449,10,13,1,5,1,5,2,5178,0,40,3,2
37,3,280464,16,10,1,5,1,3,2,0,0,80,3,2
30,5,141297,10,13,1,11,1,2,2,0,0,40,1,2
23,3,122272,10,13,2,2,4,5,1,0,0,30,3,1
32,3,205019,8,12,2,13,2,3,2,0,0,50,3,1
40,3,121772,9,11,1,4,1,2,2,0,0,40,4,2
34,3,245487,6,4,1,15,1,1,2,0,0,45,3,1
25,4,176756,12,9,2,6,4,5,2,0,0,35,3,1
32,3,186824,12,9,2,8,5,5,2,0,0,40,3,1
38,3,28887,2,7,1,13,1,5,2,0,0,50,3,1
43,4,292175,13,14,3,5,5,5,1,0,0,45,3,2
40,3,193524,11,16,1,11,1,5,2,0,0,60,3,2
54,3,302146,12,9,3,9,5,3,1,0,0,20,3,1
35,2,76845,7,5,1,6,1,3,2,0,0,40,3,1
43,3,117037,2,7,1,15,1,5,2,0,2042,40,3,1
59,3,109015,12,9,3,14,5,5,1,0,0,40,3,1
56,5,216851,10,13,1,14,1,5,2,0,0,40,3,2
19,3,168294,12,9,2,4,4,5,2,0,0,40,3,1
39,3,367260,12,9,3,5,2,5,2,0,0,80,3,1
49,3,193366,12,9,1,4,1,5,2,0,0,40,3,1
23,5,190709,8,12,2,12,2,5,2,0,0,52,3,1
20,3,266015,16,10,2,13,4,3,2,0,0,44,3,1
45,3,386940,10,13,3,5,4,5,2,0,1408,40,3,1
30,2,59951,16,10,1,2,4,5,2,0,0,40,3,1
22,5,311512,16,10,1,9,1,3,2,0,0,15,3,1
48,3,242406,2,7,2,8,5,5,2,0,0,40,3,1
21,3,197200,16,10,2,8,4,5,2,0,0,40,3,1
19,3,544091,12,9,1,2,6,5,1,0,0,25,3,1
31,3,84154,16,10,1,13,1,5,2,0,0,38,4,2
48,4,265477,8,12,1,11,1,5,2,0,0,40,3,1
31,3,507875,7,5,1,8,1,5,2,0,0,43,3,1
53,4,88506,10,13,1,11,1,5,2,0,0,40,3,1
24,3,172987,10,13,1,14,1,5,2,0,0,50,3,1
49,3,94638,12,9,3,2,5,5,1,0,0,40,3,1
25,3,289980,12,9,2,7,2,5,2,0,0,35,3,1
57,2,337895,10,13,1,11,1,3,2,0,0,40,3,2
53,3,144361,12,9,1,8,1,5,2,0,0,38,3,1
44,3,128354,13,14,3,5,5,5,1,0,0,40,3,1
41,5,101603,9,11,1,4,1,5,2,0,0,40,3,1
29,3,271466,9,11,2,11,2,5,2,0,0,43,3,1
25,3,32275,16,10,1,5,6,4,1,0,0,40,3,1
18,3,226956,12,9,2,9,4,5,1,0,0,30,4,1
47,3,51835,15,15,1,11,6,5,1,0,1902,60,3,2
50,2,251585,10,13,3,5,2,5,2,0,0,55,3,2
47,4,109832,12,9,3,5,2,5,2,0,0,60,3,1
43,3,237993,16,10,1,14,1,5,2,0,0,40,3,2
46,3,216666,5,3,1,8,1,5,2,0,0,40,3,1
35,3,56352,9,11,1,9,1,5,2,0,0,40,3,1
41,3,147372,12,9,1,2,1,5,2,0,0,48,3,1
30,3,188146,12,9,1,8,1,5,2,5013,0,40,3,1
30,3,59496,10,13,1,13,1,5,2,2407,0,40,3,1
48,3,149640,12,9,1,15,1,5,2,0,0,40,3,1
42,3,116632,11,16,1,11,1,5,2,0,0,45,3,2
29,3,105598,16,10,3,14,2,5,2,0,0,58,3,1
36,3,155537,12,9,1,4,1,5,2,0,0,40,3,1
28,3,183175,16,10,3,2,2,5,1,0,0,40,3,1
53,3,169846,12,9,1,2,6,5,1,0,0,40,3,2
49,4,191681,16,10,1,5,1,5,2,0,0,50,3,2
19,3,101509,16,10,2,11,4,5,2,0,0,32,3,1
31,3,309974,10,13,3,13,4,3,1,0,0,40,3,1
29,4,162298,10,13,1,13,1,5,2,0,0,70,3,2
23,3,211678,16,10,2,8,2,5,2,0,0,40,3,1
79,3,124744,16,10,1,11,3,5,2,0,0,20,3,1
27,3,213921,12,9,2,9,4,5,2,0,0,40,3,1
40,3,32214,8,12,1,2,1,5,2,0,0,40,3,1
18,3,309634,2,7,2,9,4,5,1,0,0,22,3,1
31,5,125927,6,4,1,6,1,5,2,0,0,40,3,1
18,3,446839,12,9,2,13,2,5,2,0,0,30,3,1
